player_id,player,team,minutes,goals,assists,shots,np_xg,key_passes,progressive_passes,progressive_carries,tackles,interceptions,pressures,aerials_won,aerials_total,dribbles_completed,through_balls,crosses,per90,goals_p90,assists_p90,shots_p90,np_xg_p90,key_passes_p90,progressive_passes_p90,progressive_carries_p90,tackles_p90,interceptions_p90,pressures_p90,aerials_won_p90,dribbles_completed_p90,through_balls_p90,crosses_p90,aerial_win_pct,source,depth,season,competition
23742,Vadis Odjidja-Ofoe,Norwich City,294,0,2,3,0.160835927,7,38,20,9,2,95,8,8,9,0,9,0.30612244897959184,0.0,0.61,0.92,0.05,2.14,11.63,6.12,2.76,0.61,29.08,2.45,2.76,0.0,2.76,100.0,statsbomb,event-level,2015/2016,Premier League
31296,Sébastien Aymar Bassong Nguena,Norwich City,2835,1,0,20,1.8467606960000003,2,390,93,28,24,250,145,145,12,1,3,0.031746031746031744,0.03,0.0,0.63,0.06,0.06,12.38,2.95,0.89,0.76,7.94,4.6,0.38,0.03,0.1,100.0,statsbomb,event-level,2015/2016,Premier League
9630,Andre Green,Aston Villa,63,0,0,1,0.052052636,2,15,9,2,2,16,0,0,3,0,6,1.4285714285714286,0.0,0.0,1.43,0.07,2.86,21.43,12.86,2.86,2.86,22.86,0.0,4.29,0.0,8.57,,statsbomb,event-level,2015/2016,Premier League
2956,Bertrand Isidore Traoré,Chelsea,385,2,1,17,1.6131101399999996,4,21,6,11,3,92,5,5,10,1,4,0.23376623376623376,0.47,0.23,3.97,0.38,0.94,4.91,1.4,2.57,0.7,21.51,1.17,2.34,0.23,0.94,100.0,statsbomb,event-level,2015/2016,Premier League
3440,Tammy Bakumo-Abraham,Chelsea,56,0,0,2,0.171009287,0,3,2,0,0,14,4,4,1,1,2,1.6071428571428572,0.0,0.0,3.21,0.27,0.0,4.82,3.21,0.0,0.0,22.5,6.43,1.61,1.61,3.21,100.0,statsbomb,event-level,2015/2016,Premier League
3472,Willian Borges da Silva,Chelsea,2777,5,7,59,3.7275560463999997,76,570,269,48,22,484,6,6,70,12,99,0.03240907454087144,0.16,0.23,1.91,0.12,2.46,18.47,8.72,1.56,0.71,15.69,0.19,2.27,0.39,3.21,100.0,statsbomb,event-level,2015/2016,Premier League
3504,Ruben Loftus-Cheek,Chelsea,429,1,0,14,1.3690498810000002,4,34,30,13,5,128,10,10,9,0,1,0.2097902097902098,0.21,0.0,2.94,0.29,0.84,7.13,6.29,2.73,1.05,26.85,2.1,1.89,0.0,0.21,100.0,statsbomb,event-level,2015/2016,Premier League
3666,Robert Kenedy Nunes do Nascimento,Chelsea,587,1,0,13,0.42822458199999996,5,91,42,16,12,102,4,4,22,1,10,0.15332197614991483,0.15,0.0,1.99,0.07,0.77,13.95,6.44,2.45,1.84,15.64,0.61,3.37,0.15,1.53,100.0,statsbomb,event-level,2015/2016,Premier League
12325,Abdul Rahman Baba,Chelsea,1037,0,1,6,0.36923715599999996,2,196,32,48,25,235,16,16,9,1,23,0.08678881388621022,0.0,0.09,0.52,0.03,0.17,17.01,2.78,4.17,2.17,20.4,1.39,0.78,0.09,2.0,100.0,statsbomb,event-level,2015/2016,Premier League
3483,Mamadou Sakho,Liverpool,1899,1,0,6,0.9238965270000001,4,508,79,34,32,125,113,113,3,0,0,0.04739336492890995,0.05,0.0,0.28,0.04,0.19,24.08,3.74,1.61,1.52,5.92,5.36,0.14,0.0,0.0,100.0,statsbomb,event-level,2015/2016,Premier League
40366,Wes Brown,Sunderland,537,0,0,0,0.0,0,71,11,8,8,51,21,21,1,0,0,0.16759776536312848,0.0,0.0,0.0,0.0,0.0,11.9,1.84,1.34,1.34,8.55,3.52,0.17,0.0,0.0,100.0,statsbomb,event-level,2015/2016,Premier League
2988,Memphis Depay,Manchester United,1517,2,0,56,4.381855249300001,12,191,108,12,8,187,10,10,33,5,63,0.05932762030323006,0.12,0.0,3.32,0.26,0.71,11.33,6.41,0.71,0.47,11.09,0.59,1.96,0.3,3.74,100.0,statsbomb,event-level,2015/2016,Premier League
3294,Juan Manuel Mata García,Manchester United,2904,6,5,58,5.866743938000002,46,345,140,31,23,396,10,10,40,21,52,0.030991735537190084,0.19,0.15,1.8,0.18,1.43,10.69,4.34,0.96,0.71,12.27,0.31,1.24,0.65,1.61,100.0,statsbomb,event-level,2015/2016,Premier League
3296,Marouane Fellaini-Bakkioui,Manchester United,1086,1,0,22,3.012999341,10,93,34,22,10,224,62,62,12,0,2,0.08287292817679558,0.08,0.0,1.82,0.25,0.83,7.71,2.82,1.82,0.83,18.56,5.14,0.99,0.0,0.17,100.0,statsbomb,event-level,2015/2016,Premier League
3311,Daley Blind,Manchester United,3175,1,1,4,0.1103781186,27,1115,221,91,67,541,48,48,13,5,25,0.028346456692913385,0.03,0.03,0.11,0.0,0.77,31.61,6.26,2.58,1.9,15.34,1.36,0.37,0.14,0.71,100.0,statsbomb,event-level,2015/2016,Premier League
3314,Phil Jones,Manchester United,543,0,0,1,0.052710865,0,105,24,10,7,58,21,21,0,0,1,0.16574585635359115,0.0,0.0,0.17,0.01,0.0,17.4,3.98,1.66,1.16,9.61,3.48,0.0,0.0,0.17,100.0,statsbomb,event-level,2015/2016,Premier League
3325,Marko Arnautović,Stoke City,2825,11,6,72,11.080028552999998,44,298,183,58,32,490,16,16,77,20,47,0.03185840707964602,0.35,0.19,2.29,0.35,1.4,9.49,5.83,1.85,1.02,15.61,0.51,2.45,0.64,1.5,100.0,statsbomb,event-level,2015/2016,Premier League
3333,David de Gea Quintana,Manchester United,3059,0,0,0,0.0,0,806,24,0,0,1,0,0,0,2,0,0.029421379535796013,0.0,0.0,0.0,0.0,0.0,23.71,0.71,0.0,0.0,0.03,0.0,0.0,0.06,0.0,,statsbomb,event-level,2015/2016,Premier League
3467,Erik Pieters,Stoke City,3159,0,1,5,0.07677497999999999,18,877,105,119,74,599,76,76,12,5,69,0.02849002849002849,0.0,0.03,0.14,0.0,0.51,24.99,2.99,3.39,2.11,17.07,2.17,0.34,0.14,1.97,100.0,statsbomb,event-level,2015/2016,Premier League
3480,Geoff Cameron,Stoke City,2381,0,0,16,0.908820533,9,492,105,50,53,399,85,85,21,5,9,0.0377992440151197,0.0,0.0,0.6,0.03,0.34,18.6,3.97,1.89,2.0,15.08,3.21,0.79,0.19,0.34,100.0,statsbomb,event-level,2015/2016,Premier League
3533,Xherdan Shaqiri,Stoke City,2033,3,5,39,2.4633686411,43,308,111,19,11,253,5,5,42,14,81,0.04426955238563699,0.13,0.22,1.73,0.11,1.9,13.64,4.91,0.84,0.49,11.2,0.22,1.86,0.62,3.59,100.0,statsbomb,event-level,2015/2016,Premier League
3537,Jack Butland,Stoke City,2802,0,0,0,0.0,1,892,55,0,0,6,0,0,1,0,0,0.032119914346895075,0.0,0.0,0.0,0.0,0.03,28.65,1.77,0.0,0.0,0.19,0.0,0.03,0.0,0.0,,statsbomb,event-level,2015/2016,Premier League
3538,Wayne Mark Rooney,Manchester United,2454,8,5,71,6.894919052700004,35,220,100,26,9,287,36,36,30,10,43,0.03667481662591687,0.29,0.18,2.6,0.25,1.28,8.07,3.67,0.95,0.33,10.53,1.32,1.1,0.37,1.58,100.0,statsbomb,event-level,2015/2016,Premier League
3603,Mame Biram Diouf,Stoke City,1299,5,1,32,4.856480782,7,58,24,18,8,212,46,46,12,0,5,0.06928406466512702,0.35,0.07,2.22,0.34,0.48,4.02,1.66,1.25,0.55,14.69,3.19,0.83,0.0,0.35,100.0,statsbomb,event-level,2015/2016,Premier League
3606,Ander Herrera Agüera,Manchester United,1563,3,2,24,2.8249739285000004,20,232,31,57,25,364,7,7,21,6,22,0.05758157389635317,0.17,0.12,1.38,0.16,1.15,13.36,1.79,3.28,1.44,20.96,0.4,1.21,0.35,1.27,100.0,statsbomb,event-level,2015/2016,Premier League
3612,Ashley Young,Manchester United,1082,1,2,7,0.8463417289999999,8,274,87,22,15,139,14,14,14,3,60,0.08317929759704251,0.08,0.17,0.58,0.07,0.67,22.79,7.24,1.83,1.25,11.56,1.16,1.16,0.25,4.99,100.0,statsbomb,event-level,2015/2016,Premier League
3636,Charlie Adam,Stoke City,1050,1,1,28,0.9784929336999998,9,219,45,22,7,205,21,21,10,5,16,0.08571428571428572,0.09,0.09,2.4,0.08,0.77,18.77,3.86,1.89,0.6,17.57,1.8,0.86,0.43,1.37,100.0,statsbomb,event-level,2015/2016,Premier League
4035,Ryan Shawcross,Stoke City,1694,0,0,8,0.9745430740000001,1,264,38,44,26,181,72,72,4,0,2,0.053128689492325853,0.0,0.0,0.43,0.05,0.05,14.03,2.02,2.34,1.38,9.62,3.83,0.21,0.0,0.11,100.0,statsbomb,event-level,2015/2016,Premier League
4724,Glen Johnson,Stoke City,2221,0,3,18,1.0325343230000001,16,533,82,46,30,215,16,16,38,6,37,0.040522287257991896,0.0,0.12,0.73,0.04,0.65,21.6,3.32,1.86,1.22,8.71,0.65,1.54,0.24,1.5,100.0,statsbomb,event-level,2015/2016,Premier League
4751,Michael Carrick,Manchester United,2008,0,0,7,0.30545537500000003,8,527,74,43,37,269,25,25,7,9,6,0.044820717131474105,0.0,0.0,0.31,0.01,0.36,23.62,3.32,1.93,1.66,12.06,1.12,0.31,0.4,0.27,100.0,statsbomb,event-level,2015/2016,Premier League
4891,Ibrahim Afellay,Stoke City,2112,2,2,39,2.2133037750000004,19,272,126,28,11,346,14,14,40,5,30,0.04261363636363636,0.09,0.09,1.66,0.09,0.81,11.59,5.37,1.19,0.47,14.74,0.6,1.7,0.21,1.28,100.0,statsbomb,event-level,2015/2016,Premier League
4913,Bojan Krkíc Pérez,Stoke City,1708,7,1,37,4.829386597400001,26,164,114,11,12,285,6,6,44,11,19,0.05269320843091335,0.37,0.05,1.95,0.25,1.37,8.64,6.01,0.58,0.63,15.02,0.32,2.32,0.58,1.0,100.0,statsbomb,event-level,2015/2016,Premier League
6846,Andreas Hoelgebaum Pereira,Manchester United,95,0,0,0,0.0,3,26,8,0,0,24,2,2,3,0,4,0.9473684210526315,0.0,0.0,0.0,0.0,2.84,24.63,7.58,0.0,0.0,22.74,1.89,2.84,0.0,3.79,100.0,statsbomb,event-level,2015/2016,Premier League
8251,Marco van Ginkel,Stoke City,763,0,0,10,0.519662764,5,114,22,28,13,218,15,15,5,4,5,0.11795543905635648,0.0,0.0,1.18,0.06,0.59,13.45,2.6,3.3,1.53,25.71,1.77,0.59,0.47,0.59,100.0,statsbomb,event-level,2015/2016,Premier League
9625,Glenn Whelan,Stoke City,3215,0,1,11,0.21807827100000002,21,608,54,80,60,568,53,53,18,1,8,0.027993779160186624,0.0,0.03,0.31,0.01,0.59,17.02,1.51,2.24,1.68,15.9,1.48,0.5,0.03,0.22,100.0,statsbomb,event-level,2015/2016,Premier League
10958,Chris Smalling,Manchester United,3206,0,1,21,1.71060454,5,444,154,72,48,413,199,199,7,0,1,0.028072364316905803,0.0,0.03,0.59,0.05,0.14,12.46,4.32,2.02,1.35,11.59,5.59,0.2,0.0,0.03,100.0,statsbomb,event-level,2015/2016,Premier League
20039,Anthony Martial,Manchester United,2671,11,3,57,6.901340182499998,32,188,229,35,14,372,67,67,73,6,47,0.03369524522650692,0.37,0.1,1.92,0.23,1.08,6.33,7.72,1.18,0.47,12.53,2.26,2.46,0.2,1.58,100.0,statsbomb,event-level,2015/2016,Premier League
40121,Philipp Wollscheid,Stoke City,2729,0,0,3,0.134113701,4,528,56,80,66,353,86,86,8,0,0,0.03297911322828875,0.0,0.0,0.1,0.0,0.13,17.41,1.85,2.64,2.18,11.64,2.84,0.26,0.0,0.0,100.0,statsbomb,event-level,2015/2016,Premier League
3265,José Luis Sanmartín Mato,Stoke City,1127,4,1,29,2.577868745,8,52,14,11,4,265,57,57,10,3,12,0.07985803016858918,0.32,0.08,2.32,0.21,0.64,4.15,1.12,0.88,0.32,21.16,4.55,0.8,0.24,0.96,100.0,statsbomb,event-level,2015/2016,Premier League
3288,Miguel Ángel Britos Cabrera,Watford,2080,0,0,7,0.6520756639999999,0,381,30,30,27,171,89,89,7,1,1,0.04326923076923077,0.0,0.0,0.3,0.03,0.0,16.49,1.3,1.3,1.17,7.4,3.85,0.3,0.04,0.04,100.0,statsbomb,event-level,2015/2016,Premier League
3670,Jonathan Walters,Stoke City,1756,5,2,33,5.530523288,19,118,35,9,10,222,107,107,16,3,27,0.05125284738041002,0.26,0.1,1.69,0.28,0.97,6.05,1.79,0.46,0.51,11.38,5.48,0.82,0.15,1.38,100.0,statsbomb,event-level,2015/2016,Premier League
4040,Peter Crouch,Stoke City,478,0,1,9,0.5820410970000001,3,41,1,4,2,68,66,66,1,0,1,0.18828451882845187,0.0,0.19,1.69,0.11,0.56,7.72,0.19,0.75,0.38,12.8,12.43,0.19,0.0,0.19,100.0,statsbomb,event-level,2015/2016,Premier League
13848,Marc Wilson,Stoke City,268,0,0,0,0.0,1,41,4,9,4,32,5,5,1,0,1,0.3358208955223881,0.0,0.0,0.0,0.0,0.34,13.77,1.34,3.02,1.34,10.75,1.68,0.34,0.0,0.34,100.0,statsbomb,event-level,2015/2016,Premier League
36983,Juan Carlos Paredes Reasco,Watford,782,0,0,5,0.127796528,3,185,37,14,8,145,5,5,7,0,23,0.11508951406649616,0.0,0.0,0.58,0.01,0.35,21.29,4.26,1.61,0.92,16.69,0.58,0.81,0.0,2.65,100.0,statsbomb,event-level,2015/2016,Premier League
40118,Ikechi Anya,Watford,1714,0,1,10,0.7347301659999997,15,310,97,16,17,201,22,22,17,1,47,0.052508751458576426,0.0,0.05,0.53,0.04,0.79,16.28,5.09,0.84,0.89,10.55,1.16,0.89,0.05,2.47,100.0,statsbomb,event-level,2015/2016,Premier League
